name,slug,city,status,matched_polygon,score
Chandler at Sunrise,chandler-at-sunrise,Austin,NEEDS_POLYGON,Chandler Creek,0.667
Chandler Creek,chandler-creek,Austin,HAS_POLYGON,chandler-creek,1.0
Chandlere Crossing,chandlere-crossing,Round Rock,FUZZY_MATCH,Chandler Crossing,0.971
Chapel Hill North,chapel-hill-north,Austin,HAS_POLYGON,chapel-hill-north,1.0
Chapparal,chapparal,Austin,FUZZY_MATCH,Chaparral,0.889
Chappell Hill,chappell-hill,Austin,HAS_POLYGON,chappell-hill,1.0
Chateau at Onion Creek,chateau-at-onion-creek,Austin,HAS_POLYGON,chateau-at-onion-creek,1.0
Cherry 1660,cherry-1660,Hutto,NEEDS_POLYGON,Cherry Hills,0.609
Cherry Creek,cherry-creek,Austin,HAS_POLYGON,cherry-creek,1.0
Cherry Hill Park,cherry-hill-park,Austin,HAS_POLYGON,cherry-hill-park,1.0
Cherry Hollow Estates,cherry-hollow-estates,Leander,HAS_POLYGON,cherry-hollow-estates,1.0
Cherry Meadows,cherry-meadows,Austin,HAS_POLYGON,cherry-meadows,1.0
Cherrywood,cherrywood,Austin,HAS_POLYGON,cherrywood,1.0
Chestnut,chestnut,Austin,HAS_POLYGON,chestnut,1.0
Chimney Corners,chimney-corners,Austin,NEEDS_POLYGON,Chimney Creek,0.786
Chimney Hills,chimney-hills,Austin,HAS_POLYGON,chimney-hills,1.0
Chimney Hills North,chimney-hills-north,Austin,HAS_POLYGON,chimney-hills-north,1.0
Chrisholm Crossing,chrisholm-crossing,Round Rock,FUZZY_MATCH,Chisholm Crossing,0.971
Churchill Farms,churchill-farms,Georgetown,HAS_POLYGON,churchill-farms,1.0
Cimarron,cimarron,Round Rock,HAS_POLYGON,cimarron,1.0
Cimarron Hills,cimarron-hills,Georgetown,HAS_POLYGON,cimarron-hills,1.0
Circle C Ranch,circle-c-ranch,Austin,FUZZY_MATCH,Circle N Ranch,0.929
Circle J Ranch,circle-j-ranch,Lake Travis,FUZZY_MATCH,Circle N Ranch,0.929
Clarks Crossing,clarks-crossing,Hutto,HAS_POLYGON,clarks-crossing,1.0
Clarksville,clarksville,West Central Austin,HAS_POLYGON,clarksville,1.0
Clayton's Crossing,claytons-crossing,Austin,HAS_POLYGON,claytons-crossing,1.0
Clear Creek Estates,clear-creek-estates,Austin,HAS_POLYGON,clear-creek-estates,1.0
Clearview,clearview,Georgetown,NEEDS_POLYGON,Clarksville,0.7
Cliff Over Lake Austin,cliff-over-lake-austin,West Central Austin,FUZZY_MATCH,Cliffs Over Lake Austin,0.978
Cliffside,cliffside,Austin,NEEDS_POLYGON,Cliffview,0.778
Club at Wells Point,club-at-wells-point,Pflugerville,FUZZY_MATCH,The Club at Wells Point,0.905
Cluck Creek Estates,cluck-creek-estates,Austin,HAS_POLYGON,cluck-creek-estates,1.0
Cold Springs,cold-springs,Leander,HAS_POLYGON,cold-springs,1.0
Coldwater,coldwater,Austin,NEEDS_POLYGON,Coldwater Canyon,0.72
Colonial Grand,colonial-grand,Round Rock,HAS_POLYGON,colonial-grand,1.0
Colony Meadows,colony-meadows,Austin,HAS_POLYGON,colony-meadows,1.0
Colony Park,colony-park,Austin,HAS_POLYGON,colony-park,1.0
Colorado Crossing,colorado-crossing,West Central Austin,HAS_POLYGON,colorado-crossing,1.0
