name,slug,city,status,matched_polygon,score
Rhodes,rhodes,Round Rock,NEEDS_POLYGON,Rogers,0.667
Ribelin Ranch,ribelin-ranch,Austin,NEEDS_POLYGON,River Ranch,0.75
Ridgeline Ranchettes,ridgeline-ranchettes,Leander,NEEDS_POLYGON,Red Wagon Ranchettes,0.75
Ridgewood North,ridgewood-north,Leander,NEEDS_POLYGON,Tangle Wood North,0.75
Ridgewood South,ridgewood-south,Leander,NEEDS_POLYGON,Sunridge South,0.759
River Dance at Steiner Ranch,river-dance-at-steiner-ranch,Lake Travis,NEEDS_POLYGON,Meritage at Steiner Ranch,0.792
River Place Centre,river-place-centre,Austin,NEEDS_POLYGON,River Place,0.759
Riverfront Estates,riverfront-estates,Lake Travis,NEEDS_POLYGON,River Estates,0.839
Round Mountain,round-mountain,Lake Travis,NEEDS_POLYGON,Round Mountain Oaks,0.848
Sahd,sahd,Pflugerville,NEEDS_POLYGON,Cascada,0.545
Sanctuary at Coldwater,sanctuary-at-coldwater,Austin,NEEDS_POLYGON,Enclave at Escondera,0.571
Sandahl,sandahl,Austin,NEEDS_POLYGON,Shenandoah,0.706
Scenic Overlook,scenic-overlook,Leander,NEEDS_POLYGON,The Overlook,0.741
Scofield Ranch Creekside,scofield-ranch-creekside,Austin,NEEDS_POLYGON,Mayfield Ranch Cove,0.651
Serenada,serenada,Georgetown,NEEDS_POLYGON,Serenada West,0.762
Shadestone Terrace,shadestone-terrace,Steiner Ranch,NEEDS_POLYGON,JOHNSTON TERRACE,0.765
Shadow Canyon,shadow-canyon,Georgetown,NEEDS_POLYGON,Shadow Lawn,0.75
Sheldon,sheldon,Pflugerville,NEEDS_POLYGON,Shell,0.667
Shepard of the Hills,shepard-of-the-hills,Austin,NEEDS_POLYGON,Heather Hills,0.727
Slaughter Creek Commerical Park,slaughter-creek-commerical-park,Austin,NEEDS_POLYGON,Slaughter Creek Acres,0.692
Slaughter South,slaughter-south,Austin,NEEDS_POLYGON,Lake South,0.72
Sonesta West,sonesta-west,Austin,NEEDS_POLYGON,Vista West,0.727
Spicewood Summit,spicewood-summit,Austin,NEEDS_POLYGON,Spicewood Point,0.774
Springdale Heights,springdale-heights,Austin,NEEDS_POLYGON,Springdale Hills,0.824
Springfield at Thaxton Road,springfield-at-thaxton-road,Austin,NEEDS_POLYGON,Springfield,0.579
Stillhouse Springs,stillhouse-springs,Austin,NEEDS_POLYGON,The Springs,0.759
Strother Mountain,strother-mountain,Austin,NEEDS_POLYGON,Shepherd Mountain,0.765
Summit at West Rim,summit-at-west-rim,West Lake Hills,NEEDS_POLYGON,The Summit at Eastridge,0.732
